game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20211102,a,1102,2021,East,First Round,2,2021 Louisville,15,2021 Marist,74,43,31,117,1
20221102,a,1102,2022,South,First Round,2,2022 Iowa,15,2022 Illinois St.,98,58,40,156,1
20231102,a,1102,2023,South,First Round,2,2023 Maryland,15,2023 Holy Cross,93,61,32,154,1
20241102,a,1102,2024,South,First Round,2,2024 Notre Dame,15,2024 Kent St.,81,67,14,148,1
20251102a,a,1102,2025,South,First Round,2,2025 North Carolina St.,15,2025 Vermont,75,55,20,130,1
20211202,a,1202,2021,West,First Round,2,2021 Maryland,15,2021 Mount St. Mary's,98,45,53,143,1
20221202,a,1202,2022,Midwest,First Round,2,2022 Baylor,15,2022 Hawaii,89,49,40,138,1
20231202,a,1202,2023,Midwest,First Round,2,2023 Utah,15,2023 Gardner Webb,103,77,26,180,1
20241202,a,1202,2024,Midwest,First Round,2,2024 Stanford,15,2024 Norfolk St.,79,50,29,129,1
20251202a,a,1202,2025,Midwest,First Round,2,2025 Duke,15,2025 Lehigh,86,25,61,111,1
20211302,a,1302,2021,South,First Round,2,2021 Texas A&M,15,2021 Troy,84,80,4,164,1
20221302,a,1302,2022,West,First Round,2,2022 Texas,15,2022 Fairfield,70,52,18,122,1
20231302,a,1302,2023,West,First Round,2,2023 Connecticut,15,2023 Vermont,95,52,43,147,1
20241302,a,1302,2024,East,First Round,2,2024 UCLA,15,2024 California Baptist,84,55,29,139,1
20251302a,a,1302,2025,East,First Round,2,2025 TCU,15,2025 Fairleigh Dickinson,73,51,22,124,1
20211402,a,1402,2021,Midwest,First Round,2,2021 Baylor,15,2021 Jackson St.,101,52,49,153,1
20221402,a,1402,2022,East,First Round,2,2022 Connecticut,15,2022 Mercer,83,38,45,121,1
20231402,a,1402,2023,East,First Round,2,2023 Iowa,15,2023 Southeastern Louisiana,95,43,52,138,1
20241402,a,1402,2024,West,First Round,2,2024 Ohio St.,15,2024 Maine,80,57,23,137,1
20251402a,a,1402,2025,West,First Round,2,2025 Connecticut,15,2025 Arkansas St.,103,34,69,137,1
20211101,a,1101,2021,East,First Round,1,2021 Stanford,16,2021 Utah Valley,87,44,43,131,1
20221101,a,1101,2022,South,First Round,1,2022 South Carolina,16,2022 Howard,79,21,58,100,1
20231101,a,1101,2023,South,First Round,1,2023 South Carolina,16,2023 Norfolk St.,72,40,32,112,1
20241101,a,1101,2024,South,First Round,1,2024 South Carolina,16,2024 Presbyterian,91,39,52,130,1
20251101a,a,1101,2025,South,First Round,1,2025 UCLA,16,2025 Southern,84,46,38,130,1
20211201,a,1201,2021,West,First Round,1,2021 South Carolina,16,2021 Mercer,79,53,26,132,1
20221201,a,1201,2022,Midwest,First Round,1,2022 Louisville,16,2022 Albany,83,51,32,134,1
20231201,a,1201,2023,Midwest,First Round,1,2023 Indiana,16,2023 Tennessee Tech,77,47,30,124,1
20241201,a,1201,2024,Midwest,First Round,1,2024 Texas,16,2024 Drexel,82,42,40,124,1
20251201a,a,1201,2025,Midwest,First Round,1,2025 South Carolina,16,2025 Tennessee Tech,108,48,60,156,1
20211301,a,1301,2021,South,First Round,1,2021 North Carolina St.,16,2021 North Carolina A&T,79,58,21,137,1
20221301,a,1301,2022,West,First Round,1,2022 Stanford,16,2022 Montana St.,78,37,41,115,1
20231301,a,1301,2023,West,First Round,1,2023 Virginia Tech,16,2023 Chattanooga,58,33,25,91,1
20241301,a,1301,2024,East,First Round,1,2024 Iowa,16,2024 Holy Cross,91,65,26,156,1
20251301a,a,1301,2025,East,First Round,1,2025 Texas,16,2025 William & Mary,105,61,44,166,1
20211401,a,1401,2021,Midwest,First Round,1,2021 Connecticut,16,2021 High Point,102,59,43,161,1
20221401,a,1401,2022,East,First Round,1,2022 North Carolina St.,16,2022 Longwood,96,68,28,164,1
20231401,a,1401,2023,East,First Round,1,2023 Stanford,16,2023 Sacred Heart,92,49,43,141,1
20241401,a,1401,2024,West,First Round,1,2024 USC,16,2024 Texas A&M Corpus Chris,87,55,32,142,1
20251401a,a,1401,2025,West,First Round,1,2025 USC,16,2025 UNC Greensboro,72,25,47,97,1
