torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2025 Mississippi Valley St.,2025,343,Mississippi Valley St.,SWAC,31,45892,79.5,107,0.0317,39.3,46.8,25,23.9,30.9,40.8,29.7,38.2,40.1,45.6,25,33.1,34.5,30.7,72.3,-20.9
2025 Oakland,2025,311,Oakland,Horz,31,45922,83.9,101.7,0.098,43,49.2,23.2,22.3,26,38.8,24.8,32.5,43,48.4,28.6,33.8,30.3,36.3,67.9,-16.4
2025 Southern Miss,2025,265,Southern Miss,SB,31,45951,84.9,95.8,0.1991,45.9,47.1,25.6,21.3,27.7,35.8,23.5,25.5,43.3,48.4,34.6,29.9,30.8,34.8,67.3,-17
2025 Akron,2025,291,Akron,MAC,31,45951,87.4,102.5,0.1386,44.8,50.8,26.4,21.2,33.9,28.4,31.4,29.8,46.8,50.2,27.5,34.6,36.2,39.6,67.9,-18.2
2025 Tennessee St.,2025,292,Tennessee St.,OVC,31,45951,84.5,99.5,0.1336,42.3,47.9,23.6,25.3,31.9,36.3,32.5,37.5,44.2,47.7,25.7,32.1,33.5,33.4,72.2,-17.9
2025 Lafayette,2025,306,Lafayette,Pat,31,45951,87.1,104.4,0.1099,45.7,49.3,21.6,18.5,22.2,32.7,17.5,19.6,43,46.9,34,35.5,33.5,38.2,64.9,-17.1
2025 Bethune Cookman,2025,325,Bethune Cookman,SWAC,31,45951,77.3,96.9,0.0695,38.6,43.6,27.9,25.4,35.4,33.8,35.9,35.2,37.9,44.8,27.1,27.5,24.3,32.3,70.6,-18.9
2025 McNeese St.,2025,329,McNeese St.,Slnd,31,45951,79.5,100.8,0.0606,39.5,45.4,24.9,20,26.4,32.3,28.5,31.7,37.2,45.4,29.8,30.3,30,33.1,72.4,-17.6
2025 Canisius,2025,330,Canisius,MAAC,31,45951,77.1,97.9,0.0602,43.7,45.7,32.7,21.5,31.9,30.5,30.2,25.4,44.2,46.8,28.5,28.9,34.5,31.6,68.3,-18.7
2025 Eastern Washington,2025,208,Eastern Washington,BSky,31,45981,87.2,92.7,0.3326,41.3,46.9,20.7,20.4,29,24.9,25.1,29,40.7,45.3,28.4,33.3,30.2,33.6,72,-15.7
2025 South Dakota,2025,244,South Dakota,Sum,31,45981,91.7,101.2,0.2441,47.4,50.7,17.3,16.3,15,28.3,26.4,19.3,47.5,50.3,31.5,34.2,45,37.2,67.2,-15.6
2025 Georgetown,2025,99,Georgetown,BE,31,46010,101.3,91.7,0.7585,44.9,48.3,23.2,20.8,32.8,31.9,26.8,24.5,43.2,46.8,32.1,34.1,34.6,34.8,66,-8.8
