year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r2_r4_g03,Round 2,Region 4,11,Bradley,Region 4,14,Wyoming,0.696505033770542,0.6560148040655837
2021,r2_r4_g04,Round 2,Region 4,5,Georgia Tech,Region 4,4,West Virginia,0.4506859456807709,0.4088601958476043
2021,r2_r4_g04,Round 2,Region 4,12,Stephen F. Austin,Region 4,4,West Virginia,0.32878147965757926,0.3026080469695264
2021,r2_r4_g04,Round 2,Region 4,5,Georgia Tech,Region 4,13,Lehigh,0.9597628720219284,0.9428216293253786
2021,r2_r4_g04,Round 2,Region 4,12,Stephen F. Austin,Region 4,13,Lehigh,0.9343856149980951,0.9088966222424677
2021,r3_r1_g01,Sweet 16,Region 1,1,Stanford,Region 1,4,Arkansas,0.7203254699707031,0.8265349806825273
2021,r3_r1_g01,Sweet 16,Region 1,1,Stanford,Region 1,13,Wright St.,0.748525857925415,0.7878955308038316
2021,r3_r1_g01,Sweet 16,Region 1,1,Stanford,Region 1,5,Missouri St.,0.748525857925415,0.8319721010455979
2021,r3_r1_g01,Sweet 16,Region 1,1,Stanford,Region 1,12,UC Davis,0.721389651298523,0.7527606027310585
2021,r3_r1_g01,Sweet 16,Region 1,16,Utah Valley,Region 1,4,Arkansas,0.1742979735136032,0.2108755755682975
2021,r3_r1_g01,Sweet 16,Region 1,16,Utah Valley,Region 1,13,Wright St.,0.2369358092546463,0.24723939726894145
2021,r3_r1_g01,Sweet 16,Region 1,16,Utah Valley,Region 1,5,Missouri St.,0.2369358092546463,0.24723939726894145
2021,r3_r1_g01,Sweet 16,Region 1,16,Utah Valley,Region 1,12,UC Davis,0.15117481350898743,0.17325346104065437
2021,r3_r1_g01,Sweet 16,Region 1,8,Oklahoma St.,Region 1,4,Arkansas,0.3935185372829437,0.4672676890487699
2021,r3_r1_g01,Sweet 16,Region 1,8,Oklahoma St.,Region 1,13,Wright St.,0.721389651298523,0.7527606027310585
2021,r3_r1_g01,Sweet 16,Region 1,8,Oklahoma St.,Region 1,5,Missouri St.,0.6058070063591003,0.6521519994805244
2021,r3_r1_g01,Sweet 16,Region 1,8,Oklahoma St.,Region 1,12,UC Davis,0.6879229545593262,0.7438140627250368
2021,r3_r1_g01,Sweet 16,Region 1,9,Wake Forest,Region 1,4,Arkansas,0.1742979735136032,0.21124590421095993
2021,r3_r1_g01,Sweet 16,Region 1,9,Wake Forest,Region 1,13,Wright St.,0.721389651298523,0.7527606027310585
2021,r3_r1_g01,Sweet 16,Region 1,9,Wake Forest,Region 1,5,Missouri St.,0.2369358092546463,0.24043127921215623
2021,r3_r1_g01,Sweet 16,Region 1,9,Wake Forest,Region 1,12,UC Davis,0.6075882911682129,0.687078415340629
2021,r3_r1_g02,Sweet 16,Region 1,2,Louisville,Region 1,3,Georgia,0.748525857925415,0.7878955308038316
2021,r3_r1_g02,Sweet 16,Region 1,2,Louisville,Region 1,14,Drexel,0.748525857925415,0.8103185536092115
2021,r3_r1_g02,Sweet 16,Region 1,2,Louisville,Region 1,6,Oregon,0.6480486989021301,0.6546296575882231
