team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2021 Loyola Chicago,8.9,11.6,21.7,10.1,11.7
2021 LSU,14.9,8.9,16.5,17.2,-0.6
2021 Maryland,12.2,11.2,19.2,13.5,5.6
2021 Michigan,11.6,12.4,23.2,11.2,12
2021 Michigan St.,5.9,7.6,19.7,7.8,11.9
2021 Missouri,9.7,9.9,14,9,5
2021 Morehead St.,7,9.8,7.7,4.7,3
2021 Mount St. Mary's,4.6,10.1,1,-2.3,3.2
2021 Norfolk St.,4.7,6.9,3.6,3.2,0.4
2021 North Carolina,7,8.8,18.4,10.8,7.7
2021 North Texas,7,10.5,9.7,3.8,5.9
2021 Ohio,10.2,9.6,15,11.6,3.4
2021 Ohio St.,12.4,9.2,17.2,14.8,2.4
2021 Oklahoma,10.2,9.2,15.7,12.5,3.2
2021 Oklahoma St.,7.7,11.4,14.4,6.9,7.5
2021 Oral Roberts,12.2,8,9,11.7,-2.7
2021 Oregon,14.1,11.3,23.5,17.3,6.3
2021 Oregon St.,10.3,9.8,15.1,11.3,3.9
2021 Purdue,10.3,9.5,18.3,13.3,5.1
2021 Rutgers,9.3,11.2,17,8.7,8.3
2021 San Diego St.,10.5,10.8,21.4,13.4,8
2021 St. Bonaventure,10.7,13.3,17.8,8.8,8.9
2021 Syracuse,11.5,10.5,14.1,10.3,3.8
2021 Tennessee,7.4,11.5,18.1,7.3,10.8
2021 Texas,10,10.8,16,10.1,5.9
2021 Texas Southern,6.1,7.7,6.7,4.3,2.3
2021 Texas Tech,9.2,12.2,20.1,10.4,9.7
2021 UC Santa Barbara,9,9.8,16.9,10.5,6.4
2021 UCLA,11.7,10.5,17.8,13.2,4.5
2021 UNC Greensboro,6.4,9.4,8.8,3.7,5.1
2021 USC,12.6,12.4,23.6,14.4,9.2
2021 Utah St.,8.6,13.1,21.3,8.9,12.5
2021 VCU,8.2,11,17.9,8.6,9.4
2021 Villanova,12.1,9.4,20.3,15.3,5
2021 Virginia,14.2,11.2,27.1,18.9,8.2
2021 Virginia Tech,10.6,10.8,16.8,10.5,6.3
2021 West Virginia,11.2,8.2,17.7,14.5,3.3
2021 Wichita St.,8.1,8.9,10.9,8.1,2.9
2021 Winthrop,5.9,7.7,11.4,6.5,4.9
2021 Wisconsin,10.6,10.6,20.3,13.6,6.7
2022 Akron,8.2,7.9,7.3,7.9,1.2
2022 Alabama,10.6,8.8,13.9,12.9,6.2
2022 Arizona,11,10.9,21,13.6,7.3
2022 Arkansas,8.4,12.4,16,8.1,10.3
2022 Auburn,10.3,11.9,17.4,13.4,13.3
2022 Baylor,9.7,10.5,21,12.3,8.8
2022 Boise St.,10.6,11.5,16.6,8.8,7.8
2022 Bryant,10.5,7.7,10.6,11,2.2
2022 Cal St. Fullerton,7.9,7.9,8.4,5.1,-0.6
2022 Chattanooga,11.3,9.6,15.4,12.1,3.3
2022 Colgate,8.9,7.2,8.4,8.8,1.5
2022 Colorado St.,12.4,8.8,17.9,14.2,3.6
2022 Connecticut,11,10.7,17.4,11.5,5.8
2022 Creighton,10.3,11.8,12,11.1,7.2
2022 Davidson,13.3,8.6,16,15.8,0.3
