year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value,5man_bpm,3man_bpm,elite_outcome_probability,efg%,def_rim_efficiency
2017,Miami FL,Region 2,8,C,5.65,4.66,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,20.3,0,51.2,14.929800000000004
2017,Michigan St.,Region 2,9,C,5.71,4.72,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,20.5,1,53.9,16.1113
2017,Oklahoma St.,Region 2,10,C,6.32,6.88,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,25.0,3,53.8,15.5753
2017,Rhode Island,Region 2,11,C,5.47,4.1,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,16.8,0,50.7,20.094
2017,Nevada,Region 2,12,D,4.45,4.35,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,14.4,2,52.7,14.5826
2017,Vermont,Region 2,13,F,4.63,3.84,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,11.4,1,55.4,18.899
2017,Iona,Region 2,14,F,2.81,2.19,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6.9,2,53.4,18.4193
2017,Jacksonville St.,Region 2,15,F,2.14,2.9,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.8,0,52.4,14.4409
2017,UC Davis,Region 2,16,F,1.71,1.18,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.7,0,48.7,17.170400000000004
2017,North Carolina,Region 3,1,S,7.59,6.35,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,24.6,1,52.3,11.3022
2017,Kentucky,Region 3,2,S,7.38,6.52,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,23.5,0,53.2,14.703399999999997
2017,UCLA,Region 3,3,C,6.95,7.46,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,24.5,3,59.5,15.8458
2017,Butler,Region 3,4,B,6.11,5.14,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,17.1,2,54.6,12.3845
2017,Minnesota,Region 3,5,C,5.7,3.83,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,14.7,1,48.6,12.1336
2017,Cincinnati,Region 3,6,B,6.92,5.55,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,24.4,2,51.7,16.704
2017,Dayton,Region 3,7,B,5.93,4.91,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,18.4,1,54.2,11.4272
2017,Arkansas,Region 3,8,C,5.29,4.67,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,13.4,1,51.5,13.386
2017,Seton Hall,Region 3,9,C,4.48,3.06,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,14.7,1,50.2,14.9378
2017,Wichita St.,Region 3,10,A,7.59,6.5,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,25.5,2,54.7,15.9445
2017,Kansas St.,Region 3,11,C,5.45,4.81,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,16.5,1,52.4,16.339900000000004
